Ticker,QoQ Net Profit Growth (%),QoQ Compared Quarters,YoY Net Profit Growth (%),YoY Compared Years,QoQ Revenue Growth (%),YoY Revenue Growth (%),Recovered from Harsh Condition,Error
SHANTIGEAR,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,12.87,No,No harsh condition recovery
GREENPOWER,Need 2 quarters,N/A,Need 2 years,N/A,20.59,Not ascending,No,No harsh condition recovery
SBCL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
BLUESTARCO,Need 2 quarters,N/A,Need 2 years,N/A,43.18,23.57,No,No harsh condition recovery
IDEAFORGE,Need 2 quarters,N/A,Need 2 years,N/A,11.11,Not ascending,No,No harsh condition recovery
KSL,Need 2 quarters,N/A,Need 2 years,N/A,12.4,1.17,No,No harsh condition recovery
DOLPHIN,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,1133.33,No,No harsh condition recovery
ALPEXSOLAR,Need 2 quarters,N/A,Need 2 years,N/A,73.94,88.86,No,No harsh condition recovery
THEJO,Need 2 quarters,N/A,Need 2 years,N/A,2.26,Not ascending,No,No harsh condition recovery
SOUTHBANK,0.0,"Dec 2024, Mar 2025",21.78,"Mar 2024, Mar 2025",0.08,9.29,No,No harsh condition recovery
63MOONS,Need 2 quarters,N/A,Need 2 years,N/A,16.67,Not ascending,No,No harsh condition recovery
GVT&D,N/A,N/A,Need 2 years,N/A,N/A,Need 2 years,No,No harsh condition recovery
DREDGECORP,Need 2 quarters,N/A,Need 2 years,N/A,42.59,20.72,No,No harsh condition recovery
GLENMARK,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,12.77,No,No harsh condition recovery
HUBTOWN,Need 2 quarters,N/A,Need 2 years,N/A,4.64,58.14,No,No harsh condition recovery
NEOGEN,Need 2 quarters,N/A,Need 2 years,N/A,0.69,12.59,No,No harsh condition recovery
INDHOTEL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,23.13,No,No harsh condition recovery
WELENT,Need 2 quarters,N/A,Need 2 years,N/A,17.76,24.79,No,No harsh condition recovery
ORIENTELEC,Need 2 quarters,N/A,Need 2 years,N/A,5.51,10.03,No,No harsh condition recovery
HFCL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
SHILPAMED,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,8.81,No,No harsh condition recovery
PDSL,Need 2 quarters,N/A,Need 2 years,N/A,12.83,21.26,No,No harsh condition recovery
CANFINHOME,10.38,"Dec 2024, Mar 2025",14.11,"Mar 2024, Mar 2025",1.32,10.08,No,No harsh condition recovery
INTERARCH,Need 2 quarters,N/A,Need 2 years,N/A,27.47,12.45,No,No harsh condition recovery
KIOCL,Need 2 quarters,N/A,Need 2 years,N/A,1031.25,Not ascending,No,No harsh condition recovery
HCLTECH,Need 2 quarters,N/A,Need 2 years,N/A,1.19,6.5,No,No harsh condition recovery
ASIANPAINT,Need 2 quarters,N/A,Need 2 years,N/A,N/A,2445697.28,No,No harsh condition recovery
GARFIBRES,Need 2 quarters,N/A,Need 2 years,N/A,23.36,16.14,No,No harsh condition recovery
STAR,Need 2 quarters,N/A,Need 2 years,N/A,3.12,12.69,No,No harsh condition recovery
MAITHANALL,Need 2 quarters,N/A,Need 2 years,N/A,14.44,4.52,No,No harsh condition recovery
UGROCAP,7.89,"Dec 2024, Mar 2025",21.01,"Mar 2024, Mar 2025",8.63,29.02,No,No harsh condition recovery
DBCORP,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
AHLUCONT,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,4.95,No,No harsh condition recovery
SABTNL,Need 2 quarters,N/A,Need 2 years,N/A,100.0,133.33,No,No harsh condition recovery
PNCINFRA,Need 2 quarters,N/A,Need 2 years,N/A,3.01,Not ascending,No,No harsh condition recovery
POCL,Need 2 quarters,N/A,Need 2 years,N/A,2.95,33.48,No,No harsh condition recovery
TEAMLEASE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,19.67,No,No harsh condition recovery
SAFARI,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,14.32,No,No harsh condition recovery
LXCHEM,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,4.26,No,No harsh condition recovery
RALLIS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,7.2,No,No harsh condition recovery
EIHAHOTELS,N/A,N/A,Need 2 years,N/A,N/A,8.84,No,No harsh condition recovery
ASTRAZEN,Need 2 quarters,N/A,Need 2 years,N/A,7.84,24.92,No,No harsh condition recovery
JUBLINDS,Need 2 quarters,N/A,Need 2 years,N/A,19.33,1.53,No,No harsh condition recovery
INGERRAND,Need 2 quarters,N/A,Need 2 years,N/A,19.57,9.47,No,No harsh condition recovery
PARADEEP,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,19.4,No,No harsh condition recovery
DCXINDIA,Need 2 quarters,N/A,Need 2 years,N/A,2.04,Not ascending,No,No harsh condition recovery
BHARTIARTL,Need 2 quarters,N/A,Need 2 years,N/A,6.09,15.34,No,No harsh condition recovery
ORISSAMINE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,11.64,No,No harsh condition recovery
SJS,Need 2 quarters,N/A,Need 2 years,N/A,12.29,21.02,No,No harsh condition recovery
ZOMATO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No financial data tables with valid data found for ticker ZOMATO
BLACKBUCK,Need 2 quarters,N/A,Need 2 years,N/A,15.15,68.75,No,No harsh condition recovery
PRIVISCL,Need 2 quarters,N/A,Need 2 years,N/A,25.05,19.92,No,No harsh condition recovery
SHK,Need 2 quarters,N/A,Need 2 years,N/A,4.42,10.0,No,No harsh condition recovery
SUPRIYA,Need 2 quarters,N/A,Need 2 years,N/A,12.05,17.72,No,No harsh condition recovery
TASTYBITE,Need 2 quarters,N/A,Need 2 years,N/A,14.01,Not ascending,No,No harsh condition recovery
RHIM,Need 2 quarters,N/A,Need 2 years,N/A,16.61,Not ascending,No,No harsh condition recovery
CARTRADE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,30.82,No,No harsh condition recovery
DCBBANK,17.22,"Dec 2024, Mar 2025",14.74,"Mar 2024, Mar 2025",4.25,20.68,No,No harsh condition recovery
TI,Need 2 quarters,N/A,Need 2 years,N/A,19.41,2.87,No,No harsh condition recovery
SHOPERSTOP,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,7.2,No,No harsh condition recovery
SBICARD,39.43,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",1.19,6.39,No,No harsh condition recovery
APLAPOLLO,Need 2 quarters,N/A,Need 2 years,N/A,1.4,14.19,No,No harsh condition recovery
HAPPSTMNDS,Need 2 quarters,N/A,Need 2 years,N/A,2.64,26.83,No,No harsh condition recovery
ICRA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,8.97,No,No harsh condition recovery
ADFFOODS,Need 2 quarters,N/A,Need 2 years,N/A,8.16,13.46,No,No harsh condition recovery
DBL,Need 2 quarters,N/A,Need 2 years,N/A,19.54,Not ascending,No,No harsh condition recovery
SOLARA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
GUJALKALI,Need 2 quarters,N/A,Need 2 years,N/A,4.47,6.99,No,No harsh condition recovery
JYOTICNC,Need 2 quarters,N/A,Need 2 years,N/A,4.41,26.46,No,No harsh condition recovery
BLS,Need 2 quarters,N/A,Need 2 years,N/A,35.09,30.77,No,No harsh condition recovery
HITECH,Need 2 quarters,N/A,Need 2 years,N/A,7.79,11.71,No,No harsh condition recovery
INOXWIND,Need 2 quarters,N/A,Need 2 years,N/A,24.45,61.22,No,No harsh condition recovery
DELTACORP,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
TATAMOTORS,Need 2 quarters,N/A,Need 2 years,N/A,6.12,0.4,No,No harsh condition recovery
POWERGRID,Need 2 quarters,N/A,Need 2 years,N/A,9.28,Not ascending,No,No harsh condition recovery
SFL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,15.33,No,No harsh condition recovery
UBL,Need 2 quarters,N/A,Need 2 years,N/A,16.15,9.75,No,No harsh condition recovery
BEML,Need 2 quarters,N/A,Need 2 years,N/A,88.7,Not ascending,No,No harsh condition recovery
GLAXO,Need 2 quarters,N/A,Need 2 years,N/A,2.63,8.54,No,No harsh condition recovery
BERGEPAINT,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,3.09,No,No harsh condition recovery
HDFCLIFE,Need 2 quarters,N/A,Need 2 years,N/A,39.83,Not ascending,No,No harsh condition recovery
ADANIPORTS,Need 2 quarters,N/A,Need 2 years,N/A,6.58,16.35,No,No harsh condition recovery
APLLTD,Need 2 quarters,N/A,Need 2 years,N/A,4.55,7.11,No,No harsh condition recovery
RADICO,Need 2 quarters,N/A,Need 2 years,N/A,0.77,18.14,No,No harsh condition recovery
BALMLAWRIE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,8.08,No,No harsh condition recovery
BHAGCHEM,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,5.15,No,No harsh condition recovery
GOCLCORP,Need 2 quarters,N/A,Need 2 years,N/A,2.94,Not ascending,No,No harsh condition recovery
MARINE,Need 2 quarters,N/A,Need 2 years,N/A,5.27,21.06,No,No harsh condition recovery
PRINCEPIPE,Need 2 quarters,N/A,Need 2 years,N/A,24.57,Not ascending,No,No harsh condition recovery
LTIM,Need 2 quarters,N/A,Need 2 years,N/A,1.15,7.01,No,No harsh condition recovery
OLECTRA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,42.29,No,No harsh condition recovery
RVNL,Need 2 quarters,N/A,Need 2 years,N/A,40.73,Not ascending,No,No harsh condition recovery
BANDHANBNK,Not ascending,"Dec 2024, Mar 2025",23.09,"Mar 2024, Mar 2025",Not ascending,16.31,No,No harsh condition recovery
PURVA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,9.47,No,No harsh condition recovery
KDDL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,18.48,No,No harsh condition recovery
VMART,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,16.8,No,No harsh condition recovery
CGPOWER,Need 2 quarters,N/A,Need 2 years,N/A,9.42,23.15,No,No harsh condition recovery
RAJRATAN,Need 2 quarters,N/A,Need 2 years,N/A,15.14,5.06,No,No harsh condition recovery
IDBI,7.16,"Dec 2024, Mar 2025",31.68,"Mar 2024, Mar 2025",Not ascending,9.34,No,No harsh condition recovery
HEG,Need 2 quarters,N/A,Need 2 years,N/A,13.39,Not ascending,No,No harsh condition recovery
IWEL,Need 2 quarters,N/A,Need 2 years,N/A,24.42,61.11,No,No harsh condition recovery
BEPL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,14.4,No,No harsh condition recovery
INFY,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,6.06,No,No harsh condition recovery
PSPPROJECT,Need 2 quarters,N/A,Need 2 years,N/A,6.77,0.24,No,No harsh condition recovery
TATAPOWER,Need 2 quarters,N/A,Need 2 years,N/A,11.08,6.56,No,No harsh condition recovery
DALMIASUG,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,19.97,No,No harsh condition recovery
SAGCEM,Need 2 quarters,N/A,Need 2 years,N/A,16.67,Not ascending,No,No harsh condition recovery
ECOSMOBLTY,Need 2 quarters,N/A,Need 2 years,N/A,5.36,19.56,No,No harsh condition recovery
MANYAVAR,Need 2 quarters,N/A,Need 2 years,N/A,11.67,Not ascending,No,No harsh condition recovery
JSL,Need 2 quarters,N/A,Need 2 years,N/A,2.94,1.94,No,No harsh condition recovery
SOBHA,Need 2 quarters,N/A,Need 2 years,N/A,31.05,14.98,No,No harsh condition recovery
TIMKEN,Need 2 quarters,N/A,Need 2 years,N/A,40.09,8.18,No,No harsh condition recovery
PRICOLLTD,Need 2 quarters,N/A,Need 2 years,N/A,21.29,18.49,No,No harsh condition recovery
PTC,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
IEX,Need 2 quarters,N/A,Need 2 years,N/A,7.58,19.6,No,No harsh condition recovery
NIVABUPA,Need 2 quarters,N/A,Need 2 years,N/A,32.83,28.07,No,No harsh condition recovery
BLSE,Need 2 quarters,N/A,Need 2 years,N/A,86.72,72.43,No,No harsh condition recovery
SYMPHONY,Need 2 quarters,N/A,Need 2 years,N/A,101.65,36.33,No,No harsh condition recovery
COFORGE,Need 2 quarters,N/A,Need 2 years,N/A,4.67,31.29,No,No harsh condition recovery
HEMIPROP,Need 2 quarters,N/A,Need 2 years,N/A,4.35,0.0,No,No harsh condition recovery
PIXTRANS,Need 2 quarters,N/A,Need 2 years,N/A,15.71,19.47,No,No harsh condition recovery
VMM,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,20.24,No,No harsh condition recovery
CASTROLIND,Need 2 quarters,N/A,Need 2 years,N/A,5.02,1.81,No,No harsh condition recovery
IMAGICAA,Need 2 quarters,N/A,Need 2 years,N/A,129.82,43.08,No,No harsh condition recovery
SAKSOFT,Need 2 quarters,N/A,Need 2 years,N/A,5.58,9.97,No,No harsh condition recovery
IOLCP,Need 2 quarters,N/A,Need 2 years,N/A,0.96,Not ascending,No,No harsh condition recovery
HATHWAY,Need 2 quarters,N/A,Need 2 years,N/A,0.39,2.98,No,No harsh condition recovery
MMFL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
JUBLFOOD,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,44.0,No,No harsh condition recovery
CONCORDBIO,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,7.08,No,No harsh condition recovery
LTF,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,11.73,No,No harsh condition recovery
GMRP&UI,Need 2 quarters,N/A,Need 2 years,N/A,7.82,41.32,No,No harsh condition recovery
BAJAJHIND,Need 2 quarters,N/A,Need 2 years,N/A,27.24,Not ascending,No,No harsh condition recovery
RPGLIFE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,12.2,No,No harsh condition recovery
SOLARINDS,Need 2 quarters,N/A,Need 2 years,N/A,9.83,24.22,No,No harsh condition recovery
VPRPL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,1.09,No,No harsh condition recovery
AJMERA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,5.43,No,No harsh condition recovery
CANBK,20.09,"Dec 2024, Mar 2025",14.88,"Mar 2024, Mar 2025",2.42,10.03,No,No harsh condition recovery
GRANULES,Need 2 quarters,N/A,Need 2 years,N/A,17.68,Not ascending,No,No harsh condition recovery
PRECAM,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
TV18BRDCST,Need 2 quarters,N/A,Need 2 years,N/A,31.72,Not ascending,No,No harsh condition recovery
INDIGO,Need 2 quarters,N/A,Need 2 years,N/A,0.19,17.27,No,No harsh condition recovery
DMART,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,16.87,No,No harsh condition recovery
FORTIS,Need 2 quarters,N/A,Need 2 years,N/A,4.1,12.91,No,No harsh condition recovery
APOLLOPIPE,Need 2 quarters,N/A,Need 2 years,N/A,2.22,19.76,No,No harsh condition recovery
KARURVYSYA,3.43,"Dec 2024, Mar 2025",21.0,"Mar 2024, Mar 2025",1.08,17.97,No,No harsh condition recovery
VGUARD,Need 2 quarters,N/A,Need 2 years,N/A,21.2,14.84,No,No harsh condition recovery
TTKPRESTIG,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,0.37,No,No harsh condition recovery
BBOX,Need 2 quarters,N/A,Need 2 years,N/A,0.33,Not ascending,No,No harsh condition recovery
SURAJEST,Need 2 quarters,N/A,Need 2 years,N/A,55.96,24.51,No,No harsh condition recovery
TALBROAUTO,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,5.91,No,No harsh condition recovery
TECHM,Need 2 quarters,N/A,Need 2 years,N/A,0.74,1.91,No,No harsh condition recovery
SANSERA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,6.05,No,No harsh condition recovery
RAMRAT,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,18.1,No,No harsh condition recovery
ITC,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,6.29,No,No harsh condition recovery
WENDT,Need 2 quarters,N/A,Need 2 years,N/A,43.4,3.08,No,No harsh condition recovery
TARC,Need 2 quarters,N/A,Need 2 years,N/A,125.0,Not ascending,No,No harsh condition recovery
CAPACITE,Need 2 quarters,N/A,Need 2 years,N/A,13.9,17.86,No,No harsh condition recovery
JCHAC,Need 2 quarters,N/A,Need 2 years,N/A,115.97,43.62,No,No harsh condition recovery
KODYTECH,Need 2 quarters,N/A,Need 2 years,N/A,135.29,159.09,No,No harsh condition recovery
HINDALCO,Need 2 quarters,N/A,Need 2 years,N/A,11.13,10.43,No,No harsh condition recovery
SUZLON,Need 2 quarters,N/A,Need 2 years,N/A,41.46,42.38,No,No harsh condition recovery
CUMMINSIND,Need 2 quarters,N/A,Need 2 years,N/A,23.4,13.77,No,No harsh condition recovery
JAIBALAJI,Need 2 quarters,N/A,Need 2 years,N/A,7.0,Not ascending,No,No harsh condition recovery
KPIGREEN,Need 2 quarters,N/A,Need 2 years,N/A,24.24,69.43,No,No harsh condition recovery
MMTC,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,0.0,No,No harsh condition recovery
BIRLACORPN,Need 2 quarters,N/A,Need 2 years,N/A,24.72,Not ascending,No,No harsh condition recovery
DEVYANI,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,39.23,No,No harsh condition recovery
AVL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,29.66,No,No harsh condition recovery
ZAGGLE,Need 2 quarters,N/A,Need 2 years,N/A,22.26,68.04,No,No harsh condition recovery
KMEW,Need 2 quarters,N/A,Need 2 years,N/A,11.54,Not ascending,No,No harsh condition recovery
CONFIPET,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,5.71,No,No harsh condition recovery
GRSE,Need 2 quarters,N/A,Need 2 years,N/A,29.19,41.27,No,No harsh condition recovery
JUNIPER,Need 2 quarters,N/A,Need 2 years,N/A,17.21,11.49,No,No harsh condition recovery
BAJEL,Need 2 quarters,N/A,Need 2 years,N/A,28.76,Need 2 years,No,No harsh condition recovery
KPITTECH,Need 2 quarters,N/A,Need 2 years,N/A,3.38,19.91,No,No harsh condition recovery
NUCLEUS,Need 2 quarters,N/A,Need 2 years,N/A,11.17,0.73,No,No harsh condition recovery
JWL,Need 2 quarters,N/A,Need 2 years,N/A,1.46,8.75,No,No harsh condition recovery
ZENTEC,Need 2 quarters,N/A,Need 2 years,N/A,113.82,121.36,No,No harsh condition recovery
MEDIASSIST,Need 2 quarters,N/A,Need 2 years,N/A,1.61,13.86,No,No harsh condition recovery
ARVSMART,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,109.09,No,No harsh condition recovery
KIRLOSENG,Need 2 quarters,N/A,Need 2 years,N/A,20.56,7.66,No,No harsh condition recovery
CYIENT,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,2.98,No,No harsh condition recovery
HAL,Need 2 quarters,N/A,Need 2 years,N/A,96.92,1.97,No,No harsh condition recovery
RELAXO,Need 2 quarters,N/A,Need 2 years,N/A,4.2,Not ascending,No,No harsh condition recovery
KANSAINER,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,0.28,No,No harsh condition recovery
FOSECOIND,Need 2 quarters,N/A,Need 2 years,N/A,9.56,4.95,No,No harsh condition recovery
FIVESTAR,N/A,N/A,Need 2 years,N/A,N/A,Need 2 years,No,No harsh condition recovery
WOCKPHARMA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,6.11,No,No harsh condition recovery
JPPOWER,Need 2 quarters,N/A,Need 2 years,N/A,17.63,Not ascending,No,No harsh condition recovery
PERSISTENT,Need 2 quarters,N/A,Need 2 years,N/A,5.88,21.55,No,No harsh condition recovery
ZENSARTECH,Need 2 quarters,N/A,Need 2 years,N/A,2.49,7.73,No,No harsh condition recovery
FIEMIND,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,15.38,No,No harsh condition recovery
TRENT,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,38.46,No,No harsh condition recovery
CRISIL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,2.3,No,No harsh condition recovery
APOLLO,Need 2 quarters,N/A,Need 2 years,N/A,9.46,51.08,No,No harsh condition recovery
IPL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,10.0,No,No harsh condition recovery
SHALBY,Need 2 quarters,N/A,Need 2 years,N/A,3.02,14.13,No,No harsh condition recovery
WSTCSTPAPR,Need 2 quarters,N/A,Need 2 years,N/A,2.46,Not ascending,No,No harsh condition recovery
ADVENZYMES,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,2.08,No,No harsh condition recovery
ASHOKLEY,Need 2 quarters,N/A,Need 2 years,N/A,22.52,5.99,No,No harsh condition recovery
SOTL,Need 2 quarters,N/A,Need 2 years,N/A,6.46,1.98,No,No harsh condition recovery
SEAMECLTD,Need 2 quarters,N/A,Need 2 years,N/A,69.96,Not ascending,No,No harsh condition recovery
AVALON,Need 2 quarters,N/A,Need 2 years,N/A,22.06,26.64,No,No harsh condition recovery
SUBROS,Need 2 quarters,N/A,Need 2 years,N/A,10.6,9.67,No,No harsh condition recovery
KALYANKJIL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,35.03,No,No harsh condition recovery
JTLIND,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
MPHASIS,Need 2 quarters,N/A,Need 2 years,N/A,4.18,7.16,No,No harsh condition recovery
ATGL,Need 2 quarters,N/A,Need 2 years,N/A,3.63,11.73,No,No harsh condition recovery
GENSOL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,50.78,No,No harsh condition recovery
RAMCOCEM,Need 2 quarters,N/A,Need 2 years,N/A,20.88,Not ascending,No,No harsh condition recovery
SUNTECK,Need 2 quarters,N/A,Need 2 years,N/A,27.16,50.97,No,No harsh condition recovery
DATAPATTNS,Need 2 quarters,N/A,Need 2 years,N/A,238.46,36.15,No,No harsh condition recovery
REFEX,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,78.45,No,No harsh condition recovery
UEL,N/A,N/A,Need 2 years,N/A,N/A,Not ascending,No,No harsh condition recovery
COCHINSHIP,Need 2 quarters,N/A,Need 2 years,N/A,53.14,25.85,No,No harsh condition recovery
MAHLOG,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,10.88,No,No harsh condition recovery
KIRLOSIND,Need 2 quarters,N/A,Need 2 years,N/A,8.3,3.31,No,No harsh condition recovery
SALASAR,Need 2 quarters,N/A,Need 2 years,N/A,33.45,9.11,No,No harsh condition recovery
ONGC,Need 2 quarters,N/A,Need 2 years,N/A,2.84,12.15,No,No harsh condition recovery
NORTHARC,Need 2 quarters,N/A,Need 2 years,N/A,4.69,23.85,No,No harsh condition recovery
MAHSEAMLES,Need 2 quarters,N/A,Need 2 years,N/A,8.98,Not ascending,No,No harsh condition recovery
BANKINDIA,Not ascending,"Dec 2024, Mar 2025",45.45,"Mar 2024, Mar 2025",0.88,16.76,No,No harsh condition recovery
ASTEC,Need 2 quarters,N/A,Need 2 years,N/A,27.66,Not ascending,No,No harsh condition recovery
PREMEXPLN,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,53.31,No,No harsh condition recovery
NTPCGREEN,Need 2 quarters,N/A,Need 2 years,N/A,23.17,12.58,No,No harsh condition recovery
LUXIND,Need 2 quarters,N/A,Need 2 years,N/A,47.92,11.14,No,No harsh condition recovery
JAYNECOIND,N/A,N/A,Need 2 years,N/A,N/A,Not ascending,No,No harsh condition recovery
KPRMILL,Need 2 quarters,N/A,Need 2 years,N/A,15.7,5.41,No,No harsh condition recovery
KEC,Need 2 quarters,N/A,Need 2 years,N/A,4.62,6.15,No,No harsh condition recovery
PNB,4.16,"Dec 2024, Mar 2025",102.61,"Mar 2024, Mar 2025",1.97,13.7,Yes,None
HINDPETRO,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,0.06,No,No harsh condition recovery
JAICORPLTD,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,9.07,No,No harsh condition recovery
NLCINDIA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,17.57,No,No harsh condition recovery
BANCOINDIA,Need 2 quarters,N/A,Need 2 years,N/A,36.93,16.08,No,No harsh condition recovery
BAJAJCON,Need 2 quarters,N/A,Need 2 years,N/A,6.84,Not ascending,No,No harsh condition recovery
SUNDARMHLD,Need 2 quarters,N/A,Need 2 years,N/A,48.48,Not ascending,No,No harsh condition recovery
VAKRANGEE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,19.72,No,No harsh condition recovery
RESPONIND,Need 2 quarters,N/A,Need 2 years,N/A,3.53,30.45,No,No harsh condition recovery
CUPID,Need 2 quarters,N/A,Need 2 years,N/A,21.74,7.6,No,No harsh condition recovery
SAMHI,Need 2 quarters,N/A,Need 2 years,N/A,11.28,13.9,No,No harsh condition recovery
ZFCVINDIA,Need 2 quarters,N/A,Need 2 years,N/A,5.2,0.39,No,No harsh condition recovery
SPAL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,18.77,No,No harsh condition recovery
JSWINFRA,Need 2 quarters,N/A,Need 2 years,N/A,8.54,18.95,No,No harsh condition recovery
ESABINDIA,N/A,N/A,Need 2 years,N/A,N/A,18.95,No,No harsh condition recovery
MASFIN,3.75,"Dec 2024, Mar 2025",23.62,"Mar 2024, Mar 2025",6.83,24.3,No,No harsh condition recovery
PARAGMILK,Need 2 quarters,N/A,Need 2 years,N/A,3.73,9.33,No,No harsh condition recovery
KIRIINDUS,Need 2 quarters,N/A,Need 2 years,N/A,3.47,Not ascending,No,No harsh condition recovery
DEEPINDS,Need 2 quarters,N/A,Need 2 years,N/A,7.74,34.89,No,No harsh condition recovery
PLATIND,Need 2 quarters,N/A,Need 2 years,N/A,3.26,48.48,No,No harsh condition recovery
THERMAX,Need 2 quarters,N/A,Need 2 years,N/A,23.01,11.43,No,No harsh condition recovery
HMAAGRO,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,4.38,No,No harsh condition recovery
RATEGAIN,Need 2 quarters,N/A,Need 2 years,N/A,0.72,12.02,No,No harsh condition recovery
TARSONS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,30.07,No,No harsh condition recovery
IKS,Need 2 quarters,N/A,Need 2 years,N/A,10.2,46.53,No,No harsh condition recovery
TATACOMM,Need 2 quarters,N/A,Need 2 years,N/A,3.31,10.21,No,No harsh condition recovery
GANDHAR,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
M&M,Need 2 quarters,N/A,Need 2 years,N/A,2.72,14.48,No,No harsh condition recovery
KAJARIACER,Need 2 quarters,N/A,Need 2 years,N/A,5.71,1.25,No,No harsh condition recovery
IDEA,Need 2 quarters,N/A,Need 2 years,N/A,1.69,1.2,No,No harsh condition recovery
DLINKINDIA,Need 2 quarters,N/A,Need 2 years,N/A,11.78,11.97,No,No harsh condition recovery
IONEXCHANG,Need 2 quarters,N/A,Need 2 years,N/A,7.3,14.31,No,No harsh condition recovery
CHOLAHLDNG,Need 2 quarters,N/A,Need 2 years,N/A,4.99,28.24,No,No harsh condition recovery
ADANIPOWER,Need 2 quarters,N/A,Need 2 years,N/A,4.14,11.62,No,No harsh condition recovery
